pass,resort,link,short-name,High Speed Quads,Triple Chairs,Double Chairs,Gondolas & Trams,High Speed Sixes,Quad Chairs,Surface Lifts,Eight Person Lifts,lat,lng,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing,Summit,Vertical Drop,Base,Total Lifts
epic-pass,Brides les Bains,https://www.onthesnow.co.uk/northern-alps/brides-les-bains/ski-resort,brides-les-bains,5.0,2.0,,14.0,6.0,3.0,10.0,1.0,45.45441,6.571562,5cm,24cm,45cm,25cm,28cm,,,,,,,,150 km,1.1 km,150 km,75 km,9%,40%,37%,15%,,2950m,2350m,600m,40.0
epic-pass,Courchevel,https://www.onthesnow.co.uk/northern-alps/courchevel/ski-resort,courchevel,4.0,2.0,,10.0,11.0,,28.0,,45.414659,6.63469,33cm,77cm,93cm,67cm,57cm,,,,,,,,150 km,9 km,150 km,87 km,19%,38%,33%,10%,3 km,2738m,1388m,1100m,55.0
epic-pass,Crested Butte Mountain Resort,https://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort,crested-butte-mountain-resort,4.0,2.0,1.0,,,2.0,5.0,,38.8991036,-106.9657648,"13""","57""","45""","45""","36""","5""","0""",,,,,,121,2.6 mi,1547 ac,297 ac,14%,25%,25%,36%,,12162',3062',9375',14.0
epic-pass,Falls Creek Alpine Resort,https://www.onthesnow.com/australia/falls-creek-alpine-resort/ski-resort,falls-creek-alpine-resort,,2.0,,,,7.0,7.0,,-36.8646894,147.279182,,,,,,,,"10""","21""","19""","6""","0.5""",90,1.9 mi,30.4 mi,272 ac,,,,,1.4 mi,5840',1247',4593',16.0
epic-pass,Fernie Alpine,https://www.onthesnow.com/british-columbia/fernie-alpine/ski-resort,fernie-alpine,2.0,3.0,,,,2.0,3.0,,49.4638537,-115.0866092,"4""","72""","67""","55""","62""","17""","0""",,,,,,142,3.1 mi,2504 ac,125 ac,,,,,,7001',3550',3451',10.0
epic-pass,Folgarida Marilleva,https://www.onthesnow.co.uk/trentino/folgarida-marilleva/ski-resort,folgarida-marilleva,4.0,2.0,4.0,7.0,2.0,1.0,5.0,,46.298418,10.8663748,7cm,24cm,48cm,78cm,36cm,,,,,,,,63 km,,63 km,,,32%,48%,21%,,2040m,770m,1270m,25.0
epic-pass,Heavenly,https://www.onthesnow.com/california/heavenly-mountain-resort/ski-resort,heavenly-mountain-resort,7.0,5.0,3.0,2.0,2.0,1.0,8.0,,38.9349226,-119.9402777,"16""","69""","61""","67""","47""","15""","2""","0""",,,,,97,5.5 mi,4800 ac,3379 ac,8%,62%,25%,5%,,10067',3500',7170',28.0
epic-pass,Keystone,https://www.onthesnow.com/colorado/keystone/ski-resort,keystone,4.0,1.0,2.0,2.0,2.0,1.0,8.0,,39.6077615,-105.9437549,"29""","42""","41""","39""","51""","15""","0""",,,,,,128,3.5 mi,3148 ac,662 ac,16%,43%,41%,,288 ac,12408',3128',9280',20.0
epic-pass,Kicking Horse,https://www.onthesnow.com/british-columbia/kicking-horse/ski-resort,kicking-horse,,,1.0,1.0,,2.0,1.0,,51.2975688,-117.0482516,"17""","47""","43""","34""","45""","14""","0""",,,,,,129,6.2 mi,2800 ac,516 ac,,,,,,8038',4134',3904',5.0
epic-pass,Kimberley,https://www.onthesnow.com/british-columbia/kimberley/ski-resort,kimberley,1.0,1.0,1.0,,,,2.0,,-28.7282384,24.7499112,"4""","30""","31""","30""","26""","4""","0""",,,,,,80,4 mi,1800 ac,120 ac,,,,,120 ac,6503',2464',4035',5.0
epic-pass,Kirkwood,https://www.onthesnow.com/california/kirkwood/ski-resort,kirkwood,2.0,5.0,1.0,,,2.0,3.0,,38.5833862,-90.406785,"21""","76""","73""","76""","68""","26""","0""",,,,,,90,2.5 mi,2300 ac,200 ac,,,,,,9800',2000',7800',13.0
epic-pass,La Tania,https://www.onthesnow.co.uk/northern-alps/la-tania/ski-resort,la-tania,4.0,2.0,,10.0,11.0,,28.0,,45.4317306,6.5949887,14cm,50cm,53cm,50cm,38cm,,,,,,,,150 km,,150 km,67 km,19%,38%,33%,10%,,2732m,1382m,1350m,55.0
epic-pass,Les Menuires,https://www.onthesnow.co.uk/northern-alps/les-menuires/ski-resort,les-menuires,2.0,2.0,,7.0,8.0,1.0,13.0,,45.3242022,6.5378012,37cm,84cm,82cm,66cm,53cm,,,,,,,,160 km,,160 km,50 km,15%,47%,28%,10%,,2850m,1400m,1450m,33.0
epic-pass,Madonna di Campiglio,https://www.onthesnow.co.uk/trentino/madonna-di-campiglio/ski-resort,madonna-di-campiglio,5.0,2.0,5.0,5.0,1.0,,,2.0,46.2302584,10.826401,70cm,49cm,53cm,79cm,48cm,,,,,,,,58 km,5 km,58 km,60 km,,50%,38%,12%,0.6 km,2580m,1030m,1550m,18.0
epic-pass,Meribel,https://www.onthesnow.co.uk/northern-alps/meribel/ski-resort,meribel,5.0,,,14.0,9.0,1.0,12.0,1.0,45.3967099,6.5666896,29cm,80cm,75cm,48cm,51cm,,,,,,,,150 km,1.1 km,150 km,80 km,11%,37%,40%,11%,2.3 km,2952m,1852m,1100m,41.0
epic-pass,Mont Sainte Anne,https://www.onthesnow.com/quebec/mont-sainte-anne/ski-resort,mont-sainte-anne,4.0,,,1.0,,,4.0,,47.0837074,-70.923666,"2""","39""","43""","41""","38""","13""","0""",,,,,,71,2.8 mi,547 ac,340 ac,21%,46%,20%,13%,136 ac,2625',2051',574',9.0
epic-pass,Monte Bondone,https://www.onthesnow.co.uk/trentino/monte-bondone/ski-resort,monte-bondone,,1.0,1.0,,1.0,1.0,,,45.988056,11.030833,1.7cm,21cm,14cm,60cm,15cm,,,,,,,,19 km,3.8 km,19 km,28 ha,,26%,74%,,5 km,2090m,910m,1180m,4.0
epic-pass,Mount Sunapee,https://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort,mount-sunapee,2.0,2.0,,,,1.0,3.0,,43.313611,-72.074167,"2""","23""","20""","32""","17""","3""","0""",,,,,,67,0.8 mi,232 ac,215 ac,30%,46%,11%,13%,,2743',1510',1233',8.0
epic-pass,Mt. Brighton,https://www.onthesnow.com/michigan/mount-brighton/ski-resort,mount-brighton,,3.0,,,,2.0,8.0,,42.54083,-83.8115217,"0.7""","7""","12""","16""","5""","0""",,,,,,,25,0.1 mi,130 ac,130 ac,24%,44%,24%,8%,130 ac,1330',230',1100',13.0
epic-pass,Mt. Hotham,https://www.onthesnow.com/australia/mt-hotham/ski-resort,mt-hotham,,1.0,,,,9.0,3.0,,-36.9752778,147.1327778,,,,,,,,"11""","20""","21""","8""","0.4""",100,1.6 mi,,42 ac,5%,40%,43%,12%,,6106',1296',4757',13.0
epic-pass,Nakiska Ski Area,https://www.onthesnow.com/alberta/nakiska-ski-area/ski-resort,nakiska-ski-area,3.0,,1.0,,,,2.0,,50.9427038,-115.1510985,"19""","19""","15""","19""","23""","15""","0""",,,,,,75,1.9 mi,1021 ac,960 ac,15%,59%,21%,5%,,7415',2411',5003',6.0
epic-pass,Nendaz,https://www.onthesnow.co.uk/valais/nendaz/ski-resort,nendaz,,2.0,3.0,17.0,4.0,8.0,48.0,,46.1834441,7.2942353,7cm,73cm,74cm,55cm,43cm,,,,,,,,338 km,,412 km,,,41%,54%,5%,,3330m,1930m,1400m,82.0
epic-pass,Northstar California,https://www.onthesnow.com/california/northstar-california/ski-resort,northstar-california,7.0,2.0,,2.0,1.0,1.0,7.0,,39.2745678,-120.1210934,"22""","78""","73""","73""","62""","15""","0""",,,,,,100,1.4 mi,3170 ac,1500 ac,13%,60%,27%,,,8610',2280',6330',20.0
epic-pass,Okemo Mountain Resort,https://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort,okemo-mountain-resort,4.0,3.0,,,1.0,5.0,7.0,,43.4018257,-72.7170416,"8""","27""","25""","34""","22""","4""","0""",,,,,,39.2 mi,3.4 mi,667 ac,654 ac,33%,38%,21%,9%,,3344',2200',1144',20.0
epic-pass,Orelle,https://www.onthesnow.co.uk/northern-alps/orelle/ski-resort,orelle,,,,8.0,,15.0,6.0,,45.210032,6.534071,7cm,90cm,92cm,75cm,66cm,,,,,,,,86,,150 km,120 km,13%,42%,36%,9%,,3200m,2300m,900m,29.0
epic-pass,Park City,https://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort,park-city-mountain-resort,7.0,8.0,4.0,4.0,6.0,9.0,6.0,,40.6460622,-111.4979729,"16""","62""","57""","55""","44""","11""","0""",,,,,,341,3.5 mi,7300 ac,500 ac,8%,41%,28%,23%,,10026',3226',6800',44.0
epic-pass,Pejo,https://www.onthesnow.co.uk/trentino/pejo/ski-resort,pejo,,1.0,1.0,2.0,,2.0,1.0,,46.3837162,10.6793795,6cm,21cm,49cm,46cm,30cm,,,,,,,,20 km,8 km,20 km,,,25%,65%,10%,0.9 km,3000m,1600m,1160m,7.0
epic-pass,Perisher,https://www.onthesnow.com/australia/perisher/ski-resort,perisher,1.0,2.0,4.0,,,7.0,33.0,1.0,-36.4058898,148.4117257,,,,,,,,"19""","26""","20""","14""","0.4""",110,1.9 mi,,,,,,,,6739',1165',5643',47.0
epic-pass,Pinzolo,https://www.onthesnow.co.uk/trentino/pinzolo/ski-resort,pinzolo,,,,5.0,1.0,6.0,2.0,,46.1597701,10.7650269,7cm,27cm,29cm,42cm,24cm,,,,,,,,31.4 km,5.2 km,31.4 km,31.8 km,,12%,41%,47%,,2100m,1300m,800m,14.0
epic-pass,Pontedilegno - Tonale,https://www.onthesnow.co.uk/trentino/pontedilegno-tonale-adamello-ski/ski-resort,pontedilegno-tonale-adamello-ski,11.0,1.0,2.0,4.0,1.0,4.0,5.0,,46.2602731,10.5090969,32cm,30cm,34cm,72cm,42cm,,,,,,,,100 km,11 km,100 km,3 km,,24%,61%,15%,3 km,3000m,1880m,1120m,28.0
epic-pass,Saint Martin de Belleville,https://www.onthesnow.co.uk/northern-alps/saint-martin-de-belleville/ski-resort,saint-martin-de-belleville,,1.0,1.0,8.0,7.0,2.0,12.0,,45.3804019,6.504104,13cm,67cm,72cm,64cm,42cm,,,,,,,,160 km,3 km,160 km,50 km,15%,50%,26%,10%,,2850m,1400m,1450m,31.0
epic-pass,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort,snowbasin,2.0,3.0,,3.0,1.0,,3.0,,41.2161404,-111.8571529,"12""","67""","61""","65""","43""","13""","0""",,,,,,41.8 mi,3.5 mi,3000 ac,24.9 mi,7%,37%,47%,9%,,9350',2900',6450',12.0
epic-pass,Stevens Pass Resort,https://www.onthesnow.com/washington/stevens-pass-resort/ski-resort,stevens-pass-resort,4.0,3.0,2.0,,,1.0,2.0,,47.7448119,-121.0890197,"14""","96""","82""","87""","48""","22""","0""",,,,,,57,1 mi,1125 ac,,8%,43%,31%,18%,450 ac,5845',1800',4061',12.0
epic-pass,Stoneham,https://www.onthesnow.com/quebec/stoneham/ski-resort,stoneham,1.0,,,,,3.0,2.0,,42.4802469,-71.0999719,"0.7""","34""","46""","38""","20""","3""","0""",,,,,,43,2 mi,333 ac,293 ac,19%,26%,39%,16%,156 ac,1946',1132',814',6.0
epic-pass,Stowe Mountain,https://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort,stowe-mountain-resort,,2.0,2.0,2.0,,4.0,2.0,,44.5303066,-72.7814124,"13""","44""","51""","57""","47""","14""","0""",,,,,,116,3.7 mi,485 ac,388 ac,16%,55%,15%,15%,,4395',2360',2035',12.0
epic-pass,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort,sun-valley,10.0,3.0,1.0,1.0,,,3.0,,43.6971294,-114.3517172,"6""","55""","37""","43""","24""","8""","0""",,,,,,120,3 mi,2054 ac,645 ac,,,,,,9150',3400',5750',18.0
epic-pass,Telluride,https://www.onthesnow.com/colorado/telluride/ski-resort,telluride,6.0,2.0,2.0,2.0,,1.0,4.0,,37.9374939,-107.8122852,"17""","52""","45""","53""","50""","5""","0""",,,,,,147,4.6 mi,2000 ac,220 ac,16%,30%,21%,34%,,13150',4425',8725',17.0
epic-pass,Thyon 2000,https://www.onthesnow.co.uk/valais/thyon-2000/ski-resort,thyon-2000,,,3.0,16.0,,26.0,37.0,,46.1812597,7.3717198,5cm,38cm,71cm,55cm,44cm,,,,,,,,338 km,,412 km,,,36%,56%,9%,,2700m,1400m,1300m,82.0
epic-pass,Vail,https://www.onthesnow.com/colorado/vail/ski-resort,vail,15.0,1.0,,2.0,3.0,1.0,9.0,,39.6433243,-106.3780801,"24""","56""","50""","49""","45""","24""","0.3""","0""",,,,,267,4 mi,5289 ac,461 ac,22%,34%,41%,2%,,11570',3450',8120',31.0
epic-pass,Val Thorens,https://www.onthesnow.co.uk/northern-alps/val-thorens/ski-resort,val-thorens,2.0,,,10.0,11.0,,7.0,,45.298346,6.5823249,77cm,126cm,145cm,115cm,107cm,,,,,,,,150 km,3.5 km,150 km,120 km,13%,45%,34%,8%,,3230m,930m,1825m,30.0
epic-pass,Verbier,https://www.onthesnow.co.uk/valais/verbier/ski-resort,verbier,,2.0,3.0,17.0,4.0,8.0,48.0,,46.0960814,7.2285512,33cm,115cm,111cm,93cm,79cm,,,,,,,,412 km,,412 km,157 km,,31%,48%,21%,,3330m,1830m,1500m,82.0
epic-pass,Veysonnaz,https://www.onthesnow.co.uk/valais/veysonnaz/ski-resort,veysonnaz,,,3.0,16.0,,26.0,37.0,,46.1957548,7.3379757,9cm,55cm,73cm,55cm,44cm,,,,,,,,338 km,,412 km,,,41%,54%,5%,,2700m,1230m,1470m,82.0
epic-pass,Whistler Blackcomb,https://www.onthesnow.com/british-columbia/whistler-blackcomb/ski-resort,whistler-blackcomb,11.0,3.0,,5.0,2.0,,2.0,,50.1161686,-122.9535117,"40""","77""","83""","46""","62""","28""","6""","0""",,,,,234,6.8 mi,8171 ac,697 ac,18%,40%,35%,7%,,7493',5279',2215',23.0
epic-pass,Wilmot Mountain,https://www.onthesnow.com/wisconsin/wilmot-mountain/ski-resort,wilmot-mountain,,2.0,2.0,,,3.0,4.0,,42.4989548,-88.1876602,"0.1""","4""","11""","9""","4""","0""",,,,,,,21,0.5 mi,135 ac,135 ac,33%,33%,33%,,135 ac,1030',230',800',11.0
ikon-pass,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort,alta-ski-area,3.0,1.0,2.0,,,,,,40.5884218,-111.6385807,"12""","82""","76""","73""","63""","37""","0""",,,,,,119,1.3 mi,2614 ac,140 ac,,,,,,11068',2538',8530',6.0
ikon-pass,Arapahoe Basin Ski Area,https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort,arapahoe-basin-ski-area,1.0,1.0,1.0,,,3.0,3.0,,39.6425118,-105.8719397,"34""","43""","43""","45""","45""","40""","34""","1""",,,,,147,1.5 mi,1428 ac,125 ac,7%,20%,49%,24%,,13050',2530',10780',9.0
ikon-pass,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort,aspen-snowmass,15.0,3.0,5.0,3.0,1.0,4.0,9.0,,39.2083984,-106.9490961,"22""","65""","53""","60""","66""","32""","0.3""","0""",,,,,336,5.3 mi,5517 ac,658 ac,,,,,,12510',4406',8104',40.0
ikon-pass,Bear Mountain,https://www.onthesnow.com/california/bear-mountain/ski-resort,bear-mountain,2.0,2.0,3.0,,,1.0,4.0,,41.3128717,-74.0062519,"5""","18""","29""","23""","16""","0""",,,,,,,15,1.5 mi,198 ac,198 ac,20%,33%,33%,13%,,8805',1665',7140',12.0
ikon-pass,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort,big-sky-resort,5.0,7.0,5.0,1.0,2.0,3.0,12.0,1.0,45.28590249,-111.401154,"15""","62""","48""","58""","56""","34""","0""",,,,,,317,6 mi,5800 ac,400 ac,15%,25%,42%,18%,,11166',4350',7500',35.0
ikon-pass,Blue Mountain,https://www.onthesnow.com/ontario/blue-mountain/ski-resort,blue-mountain,,1.0,,,5.0,1.0,4.0,,40.81073,-75.520864,"0.2""","19""","31""","28""","12""","4""","0""",,,,,,55,1 mi,365 ac,360 ac,22%,33%,16%,29%,260 ac,1476',722',755',11.0
ikon-pass,Boyne Mountain Resort,https://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort,boyne-mountain-resort,,3.0,2.0,,1.0,4.0,2.0,,45.162884,-84.930067,"4""","29""","40""","29""","14""","8""","0""",,,,,,60,1 mi,415 ac,380 ac,49%,28%,20%,3%,200 ac,1120',500',620',12.0
ikon-pass,Brighton Resort,https://www.onthesnow.com/utah/brighton-resort/ski-resort,brighton-resort,3.0,1.0,,,,1.0,2.0,,40.598019,-111.583187,"20""","81""","88""","79""","66""","34""","0""",,,,,,66,1.2 mi,1050 ac,200 ac,,,,,200 ac,10500',1745',8755',7.0
ikon-pass,Copper Mountain,https://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort,copper-mountain-resort,4.0,4.0,4.0,1.0,2.0,,9.0,,39.5021802,-106.1497037,"26""","47""","46""","45""","50""","28""","0""",,,,,,150,1.7 mi,2527 ac,364 ac,25%,24%,34%,17%,,12313',2738',9712',24.0
ikon-pass,Crystal Mountain,https://www.onthesnow.com/washington/crystal-mountain-wa/ski-resort,crystal-mountain-wa,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,46.9281666,-121.5045349,"23""","112""","92""","86""","61""","42""","5""","0""",,,,,85,2.5 mi,2600 ac,10 ac,8%,31%,32%,29%,,7012',3100',4400',11.0
ikon-pass,Cypress Mountain,https://www.onthesnow.com/british-columbia/cypress-mountain/ski-resort,cypress-mountain,2.0,,2.0,,,2.0,,,49.396018,-123.204545,"9""","70""","53""","48""","52""","13""","0""",,,,,,61,2.5 mi,600 ac,82 ac,8%,38%,34%,20%,66 ac,4751',2008',3012',6.0
ikon-pass,Deer Valley Resort,https://www.onthesnow.com/utah/deer-valley-resort/ski-resort,deer-valley-resort,13.0,5.0,2.0,1.0,,,,,40.63738,-111.478306,"4""","55""","61""","55""","42""","12""","0""",,,,,,103,2.8 mi,2026 ac,660 ac,27%,31%,10%,32%,,9570',3000',6570',21.0
ikon-pass,Eldora Mountain Resort,https://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort,eldora-mountain-resort,,1.0,3.0,,1.0,2.0,3.0,,39.9372203,-105.5826786,"13""","41""","39""","49""","41""","17""","0""",,,,,,61,3 mi,680 ac,680 ac,18%,48%,18%,16%,,10600',1400',9200',10.0
ikon-pass,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort,jackson-hole,5.0,,1.0,3.0,,4.0,,,43.4799291,-110.7624282,"21""","107""","99""","112""","66""","13""","0""",,,,,,131,4.5 mi,2500 ac,195 ac,4%,41%,38%,17%,,10450',4139',6311',13.0
ikon-pass,June Mountain,https://www.onthesnow.com/california/june-mountain/ski-resort,june-mountain,2.0,,4.0,,,,1.0,,37.7679169,-119.0906293,"0""","20""","61""","56""","38""","5""",,,,,,,43,2 mi,1500 ac,,16%,40%,28%,16%,,10090',2590',7545',7.0
ikon-pass,Killington Resort,https://www.onthesnow.com/vermont/killington-resort/ski-resort,killington-resort,5.0,3.0,1.0,3.0,1.0,4.0,5.0,,43.6262922,-72.7967531,"17""","37""","37""","45""","29""","10""","0.2""","0""",,,,,155,6 mi,1526 ac,600 ac,,,,,,4241',3050',1165',22.0
ikon-pass,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort,lake-louise,3.0,1.0,,1.0,1.0,2.0,3.0,,51.4253705,-116.1772552,"37""","39""","35""","35""","37""","29""","5""","0""",,,,,164,5 mi,4200 ac,680 ac,,,,,,8652',3251',5400',11.0
ikon-pass,Loon Mountain,https://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort,loon-mountain,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,44.0563456,-71.6336041,"8""","32""","30""","37""","23""","9""","0""",,,,,,61,2.5 mi,370 ac,322 ac,,,,,,3050',2100',950',9.0
