pass,resort,link,short-name
ikon-pass,Cypress Mountain,https://www.onthesnow.com/british-columbia/cypress-mountain/ski-resort,cypress-mountain
ikon-pass,Deer Valley Resort,https://www.onthesnow.com/utah/deer-valley-resort/ski-resort,deer-valley-resort
ikon-pass,Eldora Mountain Resort,https://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort,eldora-mountain-resort
ikon-pass,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort,jackson-hole
ikon-pass,June Mountain,https://www.onthesnow.com/california/june-mountain/ski-resort,june-mountain
ikon-pass,Killington Resort,https://www.onthesnow.com/vermont/killington-resort/ski-resort,killington-resort
ikon-pass,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort,lake-louise
ikon-pass,Loon Mountain,https://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort,loon-mountain
ikon-pass,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort,mammoth-mountain-ski-area
ikon-pass,Mt. Bachelor,https://www.onthesnow.com/oregon/mt-bachelor/ski-resort,mt-bachelor
ikon-pass,Mt. Buller,https://www.onthesnow.com/australia/mt-buller/ski-resort,mt-buller
ikon-pass,Mt. Norquay,https://www.onthesnow.com/alberta/ski-banff-norquay/ski-resort,ski-banff-norquay
ikon-pass,Palisades Tahoe,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort,squaw-valley-usa
ikon-pass,Panorama Mountain,https://www.onthesnow.com/british-columbia/panorama-mountain/ski-resort,panorama-mountain
ikon-pass,Revelstoke,https://www.onthesnow.com/british-columbia/revelstoke-mountain/ski-resort,revelstoke-mountain
ikon-pass,Snow Summit,https://www.onthesnow.com/california/snow-summit/ski-resort,snow-summit
ikon-pass,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort,snowbasin
ikon-pass,Snowbird,https://www.onthesnow.com/utah/snowbird/ski-resort,snowbird
ikon-pass,Snowshoe Mountain,https://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort,snowshoe-mountain-resort
ikon-pass,Solitude Mountain Resort,https://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort,solitude-mountain-resort
ikon-pass,Steamboat,https://www.onthesnow.com/colorado/steamboat/ski-resort,steamboat
ikon-pass,Stratton Mountain,https://www.onthesnow.com/vermont/stratton-mountain/ski-resort,stratton-mountain
ikon-pass,Sugarbush,https://www.onthesnow.com/vermont/sugarbush/ski-resort,sugarbush
ikon-pass,Sugarloaf,https://www.onthesnow.com/maine/sugarloaf/ski-resort,sugarloaf
ikon-pass,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort,sun-valley
ikon-pass,Sunday River,https://www.onthesnow.com/maine/sunday-river/ski-resort,sunday-river
ikon-pass,Sunshine Village,https://www.onthesnow.com/alberta/sunshine-village/ski-resort,sunshine-village
ikon-pass,Taos Ski Valley,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort,taos-ski-valley
ikon-pass,The Highlands,https://www.onthesnow.com/michigan/boyne-highlands/ski-resort,boyne-highlands
ikon-pass,The Summit at Snoqualmie,https://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort,the-summit-at-snoqualmie
ikon-pass,Thredbo Alpine Resort,https://www.onthesnow.com/australia/thredbo-alpine-resort/ski-resort,thredbo-alpine-resort
ikon-pass,Tremblant,https://www.onthesnow.com/quebec/tremblant/ski-resort,tremblant
ikon-pass,Windham Mountain,https://www.onthesnow.com/new-york/windham-mountain/ski-resort,windham-mountain
ikon-pass,Winter Park,https://www.onthesnow.com/colorado/winter-park-resort/ski-resort,winter-park-resort
